"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"3631","GLOD4","chr17",801038,802367,1330,"*",22887880,22887908,"R","chr17:801038-802367","28CpGs","1329bp",0.539,0.881,0.343,0.282,0.244,0.0486,"U",-18744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3632","GLOD4","chr17",807538,807625,88,"*",22888113,22888119,"R","chr17:807538-807625","6CpGs","87bp",0.109,0.667,0.558,0.504,0.449,0.0359,"U",-25244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3633","GLOD4","chr17",807737,808396,660,"*",22888127,22888146,"R","chr17:807737-808396","19CpGs","659bp",0.0595,0.792,0.732,0.592,0.579,0.0355,"U",-25443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3634","GLOD4","chr17",815408,815598,191,"*",22888419,22888427,"R","chr17:815408-815598","8CpGs","190bp",0.3,0.757,0.457,0.4,0.35,0.0449,"U",-33114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3635","GLOD4","chr17",867356,867621,266,"*",22889899,22889904,"R","chr17:867356-867621","5CpGs","265bp",0.346,0.775,0.429,0.386,0.365,0.0112,"U",-85062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3636","GLOD4","chr17",926146,926742,597,"*",22891387,22891408,"R","chr17:926146-926742","21CpGs","596bp",0.805,0.287,0.518,0.392,0.361,0.0475,"M",-143852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3637","GLOD4","chr17",929360,931065,1706,"*",22891474,22891512,"R","chr17:929360-931065","38CpGs","1705bp",0.734,0.27,0.464,0.37,0.345,0.0339,"M",-147066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3638","GLOD4","chr17",933465,933729,265,"*",22891596,22891601,"R","chr17:933465-933729","5CpGs","264bp",0.427,0.0625,0.365,0.292,0.275,0.0332,"M",-151171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3639","GLOD4","chr17",934370,934692,323,"*",22891621,22891628,"R","chr17:934370-934692","7CpGs","322bp",0.924,0.384,0.541,0.48,0.441,0.0209,"M",-152076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3640","GLOD4","chr17",965590,965807,218,"*",22892517,22892521,"R","chr17:965590-965807","4CpGs","217bp",0.719,0.273,0.445,0.387,0.339,0.0422,"M",-183296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3641","GLOD5","chrX",48734858,48736293,1436,"*",28304259,28304278,"R","chrX:48734858-48736293","19CpGs","1435bp",0.0806,0.733,0.653,0.523,0.478,0.0342,"U",-25454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3642","GLOD5","chrX",48744379,48744866,488,"*",28304452,28304461,"R","chrX:48744379-48744866","9CpGs","487bp",0.444,0.906,0.462,0.418,0.389,0.0155,"U",-16881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3643","GLOD5","chrX",48745654,48747562,1909,"*",28304469,28304504,"R","chrX:48745654-48747562","35CpGs","1908bp",0.131,0.628,0.497,0.434,0.397,0.0235,"U",-14185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3644","GLOD5","chrX",48754096,48755927,1832,"*",28304601,28304622,"R","chrX:48754096-48755927","21CpGs","1831bp",0.747,0.278,0.469,0.391,0.338,0.0479,"M",-5820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3645","GLRA2","chrX",14151175,14151953,779,"*",28010781,28010794,"R","chrX:14151175-14151953","13CpGs","778bp",0.915,0.549,0.366,0.344,0.334,0.00385,"M",-377345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3646","GLRA2","chrX",14200936,14201152,217,"*",28011016,28011019,"R","chrX:14200936-14201152","3CpGs","216bp",0.9,0.531,0.368,0.33,0.32,0.00924,"M",-328146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3647","GLRA2","chrX",14745051,14746000,950,"*",28014016,28014031,"R","chrX:14745051-14746000","15CpGs","949bp",0.705,0.213,0.492,0.425,0.4,0.017,"M",215753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3648","GLRA2","chrX",14784930,14786522,1593,"*",28014264,28014275,"R","chrX:14784930-14786522","11CpGs","1592bp",0.352,0.864,0.512,0.482,0.479,0.00359,"U",255632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3649","GLRA2","chrX",14842128,14842766,639,"*",28014587,28014592,"R","chrX:14842128-14842766","5CpGs","638bp",0,0.483,0.483,0.468,0.467,0.00119,"U",312830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3650","GLRA2","chrX",14794209,14795786,1578,"*",28014304,28014309,"R","chrX:14794209-14795786","5CpGs","1577bp",0.243,0.668,0.426,0.392,0.386,0.00584,"U",264911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3651","GLRA2","chrX",14058338,14060156,1819,"*",28010111,28010127,"R","chrX:14058338-14060156","16CpGs","1818bp",0.457,0.819,0.363,0.328,0.306,0.0155,"U",-469142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3652","GLRA2","chrX",14714526,14715521,996,"*",28013831,28013838,"R","chrX:14714526-14715521","7CpGs","995bp",0.6,0.0911,0.509,0.455,0.405,0.0366,"M",185228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3653","GLRA2","chrX",14583609,14585605,1997,"*",28013154,28013168,"R","chrX:14583609-14585605","14CpGs","1996bp",0.824,0.342,0.482,0.426,0.399,0.0154,"M",54311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3654","GLRA3","chr4",174984785,174985824,1040,"*",7589703,7589710,"R","chr4:174984785-174985824","7CpGs","1039bp",0.177,0.604,0.427,0.379,0.361,0.0118,"U",-155538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3655","GLRA3","chr4",174988088,174988815,728,"*",7589726,7589732,"R","chr4:174988088-174988815","6CpGs","727bp",0.258,0.838,0.58,0.557,0.539,0.00388,"U",-158841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3656","GLRA3","chr4",174993591,174995471,1881,"*",7589768,7589775,"R","chr4:174993591-174995471","7CpGs","1880bp",0.139,0.564,0.425,0.333,0.318,0.0406,"U",-164344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3657","GLRA3","chr4",175058318,175060035,1718,"*",7590167,7590177,"R","chr4:175058318-175060035","10CpGs","1717bp",0.15,0.903,0.753,0.694,0.648,0.0147,"U",-229071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3658","GLRA3","chr4",175625948,175627101,1154,"*",7593723,7593737,"R","chr4:175625948-175627101","14CpGs","1153bp",0.448,0.812,0.364,0.315,0.296,0.017,"U",-796701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3659","GLRA3","chr4",175832523,175833456,934,"*",7595219,7595228,"R","chr4:175832523-175833456","9CpGs","933bp",0.406,0.974,0.568,0.517,0.489,0.0106,"U",-1003276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3660","GLRA3","chr4",175031804,175032973,1170,"*",7590046,7590053,"R","chr4:175031804-175032973","7CpGs","1169bp",0.65,0,0.65,0.6,0.55,0.0229,"M",-202557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3661","GLRA3","chr4",175216645,175217671,1027,"*",7591042,7591049,"R","chr4:175216645-175217671","7CpGs","1026bp",0.389,0.0557,0.333,0.294,0.257,0.0448,"M",-387398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3662","GLRA3","chr4",175279319,175279383,65,"*",7591396,7591399,"R","chr4:175279319-175279383","3CpGs","64bp",0.69,0.333,0.357,0.345,0.333,0.00442,"M",-450072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3663","GLRA3","chr4",175373576,175374239,664,"*",7591984,7591990,"R","chr4:175373576-175374239","6CpGs","663bp",0.798,0.246,0.552,0.504,0.498,0.00704,"M",-544329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3664","GLRA3","chr4",175526841,175526981,141,"*",7593120,7593124,"R","chr4:175526841-175526981","4CpGs","140bp",0.525,0.225,0.3,0.264,0.25,0.0136,"M",-697594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3665","GLRA3","chr4",175730779,175731323,545,"*",7594474,7594483,"R","chr4:175730779-175731323","9CpGs","544bp",0.868,0.507,0.36,0.314,0.274,0.046,"M",-901532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3666","GLRA3","chr4",175530813,175531321,509,"*",7593150,7593158,"R","chr4:175530813-175531321","8CpGs","508bp",0.94,0.345,0.595,0.577,0.569,0.000977,"M",-701566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3667","GLRA3","chr4",175083478,175084970,1493,"*",7590272,7590280,"R","chr4:175083478-175084970","8CpGs","1492bp",0.436,0.851,0.415,0.345,0.334,0.0253,"U",-254231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3668","GLRA3","chr4",175277334,175279161,1828,"*",7591376,7591396,"R","chr4:175277334-175279161","20CpGs","1827bp",0.551,0.864,0.313,0.25,0.244,0.0398,"U",-448087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3669","GLRA3","chr4",175308435,175309368,934,"*",7591572,7591581,"R","chr4:175308435-175309368","9CpGs","933bp",0.227,0.78,0.553,0.483,0.461,0.014,"U",-479188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3670","GLRA3","chr4",175343508,175344288,781,"*",7591807,7591822,"R","chr4:175343508-175344288","15CpGs","780bp",0.187,0.834,0.647,0.487,0.452,0.0498,"U",-514261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3671","GLRA3","chr4",175454194,175455210,1017,"*",7592598,7592602,"R","chr4:175454194-175455210","4CpGs","1016bp",0.133,0.5,0.367,0.307,0.288,0.0228,"U",-624947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672","GLRA3","chr4",175495103,175495580,478,"*",7592955,7592967,"R","chr4:175495103-175495580","12CpGs","477bp",0.199,0.804,0.605,0.473,0.431,0.0399,"U",-665856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3673","GLRA3","chr4",175501536,175502932,1397,"*",7592994,7593009,"R","chr4:175501536-175502932","15CpGs","1396bp",0.322,0.805,0.483,0.438,0.412,0.0121,"U",-672289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3674","GLRA3","chr4",175770531,175771299,769,"*",7594762,7594772,"R","chr4:175770531-175771299","10CpGs","768bp",0.429,0.944,0.515,0.448,0.431,0.0145,"U",-941284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3675","GLRA3","chr4",175773260,175774960,1701,"*",7594785,7594791,"R","chr4:175773260-175774960","6CpGs","1700bp",0.175,0.85,0.675,0.59,0.55,0.0174,"U",-944013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3676","GLRA3","chr4",174864737,174866126,1390,"*",7589027,7589037,"R","chr4:174864737-174866126","10CpGs","1389bp",0.568,0.0625,0.506,0.412,0.375,0.0319,"M",-35490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3677","GLRA3","chr4",174898007,174898155,149,"*",7589236,7589239,"R","chr4:174898007-174898155","3CpGs","148bp",0.817,0.3,0.517,0.413,0.4,0.0364,"M",-68760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3678","GLRA3","chr4",175689445,175691259,1815,"*",7594179,7594189,"R","chr4:175689445-175691259","10CpGs","1814bp",0.769,0.285,0.484,0.445,0.411,0.0198,"M",-860198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3679","GLT1D1","chr12",129066854,129067104,251,"*",18993393,18993396,"R","chr12:129066854-129067104","3CpGs","250bp",0,0.359,0.359,0.335,0.333,0.00506,"U",213427,"ENSG00000151948",34.8047289503986,1.08147108337495,0.313581887179371,7.92103660804123e-06,6.10511431511892e-05,41.0869327871106,53.6059787321024,22.1907892740593,27.5537340787376,53.365734988702,13.9207503296483,18.936224841044,47.7776865717842,"protein_coding","glycosyltransferase 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26483]"
"3680","GLT1D1","chr12",128902051,128902378,328,"*",18990790,18990798,"R","chr12:128902051-128902378","8CpGs","327bp",0.593,0.962,0.368,0.321,0.308,0.0142,"U",48624,"ENSG00000151948",34.8047289503986,1.08147108337495,0.313581887179371,7.92103660804123e-06,6.10511431511892e-05,41.0869327871106,53.6059787321024,22.1907892740593,27.5537340787376,53.365734988702,13.9207503296483,18.936224841044,47.7776865717842,"protein_coding","glycosyltransferase 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26483]"
"3681","GLT1D1","chr12",129325249,129325393,145,"*",18996280,18996283,"R","chr12:129325249-129325393","3CpGs","144bp",0.59,0.134,0.456,0.431,0.413,0.00612,"M",471822,"ENSG00000151948",34.8047289503986,1.08147108337495,0.313581887179371,7.92103660804123e-06,6.10511431511892e-05,41.0869327871106,53.6059787321024,22.1907892740593,27.5537340787376,53.365734988702,13.9207503296483,18.936224841044,47.7776865717842,"protein_coding","glycosyltransferase 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26483]"
"3682","GLUL","chr1",182177480,182178458,979,"*",1757522,1757525,"R","chr1:182177480-182178458","3CpGs","978bp",0.56,0.11,0.45,0.389,0.357,0.0221,"M",213748,"ENSG00000135821",7265.22222679433,-0.319277346214561,0.0645573279349547,2.98394246841595e-07,3.03946039526662e-06,6234.10920721186,6847.87864484134,8149.77283116932,7899.65556037408,6223.35305261863,7667.23993156296,8698.35488073355,6401.41370584289,"protein_coding","glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]"
"3683","GLYATL1B","chr11",58968261,58968303,43,"*",16978441,16978444,"R","chr11:58968261-58968303","3CpGs","42bp",0.0625,0.875,0.812,0.662,0.625,0.0283,"U",-118004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3684","GLYATL2","chr11",58968261,58968303,43,"*",16978441,16978444,"R","chr11:58968261-58968303","3CpGs","42bp",0.0625,0.875,0.812,0.662,0.625,0.0283,"U",-64046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3685","GMDS","chr6",2541686,2542580,895,"*",9343833,9343846,"R","chr6:2541686-2542580","13CpGs","894bp",0.307,0.775,0.469,0.408,0.378,0.0194,"U",-296081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3686","GMDS","chr6",2543023,2544621,1599,"*",9343849,9343860,"R","chr6:2543023-2544621","11CpGs","1598bp",0.324,0.824,0.5,0.387,0.359,0.0412,"U",-297418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3687","GMDS","chr6",2752353,2752896,544,"*",9346338,9346343,"R","chr6:2752353-2752896","5CpGs","543bp",0.6,0.0333,0.567,0.535,0.533,0.00344,"M",-506748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3688","GMDS","chr6",2430805,2431092,288,"*",9342431,9342434,"R","chr6:2430805-2431092","3CpGs","287bp",0.442,0.798,0.356,0.331,0.323,0.00451,"U",-185200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3689","GMDS","chr6",2516406,2516616,211,"*",9343608,9343613,"R","chr6:2516406-2516616","5CpGs","210bp",0.46,0.845,0.385,0.331,0.288,0.0465,"U",-270801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3690","GMDS","chr6",2549498,2549544,47,"*",9343902,9343905,"R","chr6:2549498-2549544","3CpGs","46bp",0,0.717,0.717,0.606,0.6,0.0255,"U",-303893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3691","GMDS","chr6",2500123,2500987,865,"*",9343358,9343369,"R","chr6:2500123-2500987","11CpGs","864bp",0.685,0.224,0.46,0.401,0.358,0.0336,"M",-254518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3692","GMDS","chr6",2471287,2471426,140,"*",9342987,9342990,"R","chr6:2471287-2471426","3CpGs","139bp",0.569,0.247,0.322,0.282,0.266,0.015,"M",-225682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3693","GMDS","chr6",2527930,2528686,757,"*",9343710,9343717,"R","chr6:2527930-2528686","7CpGs","756bp",0.911,0.402,0.509,0.473,0.46,0.00464,"M",-282325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3694","GMDS","chr6",2571197,2572371,1175,"*",9344131,9344143,"R","chr6:2571197-2572371","12CpGs","1174bp",0.806,0.492,0.313,0.28,0.254,0.0266,"M",-325592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3695","GMFB","chr14",54501183,54501463,281,"*",20240070,20240074,"R","chr14:54501183-54501463","4CpGs","280bp",0.856,0.515,0.342,0.306,0.283,0.0178,"M",-12158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3696","GNA12","chr7",2964254,2964793,540,"*",10910497,10910501,"R","chr7:2964254-2964793","4CpGs","539bp",0.358,0.0333,0.325,0.272,0.249,0.0263,"M",-119946,"ENSG00000146535",3622.74658910105,-0.207095096385941,0.0686415850880814,0.00172458839116789,0.00749839844713611,3235.87357139568,3552.82178192551,3871.05990669701,3729.39790755714,3308.67556929952,3711.4267128879,4282.4272478021,3290.29001524354,"protein_coding","G protein subunit alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]"
"3697","GNAL","chr18",11716232,11716298,67,"*",24235789,24235795,"R","chr18:11716232-11716298","6CpGs","66bp",0.819,0.381,0.438,0.359,0.321,0.035,"M",26968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3698","GNAS","chr20",58841333,58841774,442,"*",26639596,26639639,"R","chr20:58841333-58841774","43CpGs","441bp",0.745,0.0741,0.671,0.567,0.508,0.032,"M",1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3699","GNAS","chr20",58841783,58842264,482,"*",26639639,26639674,"R","chr20:58841783-58842264","35CpGs","481bp",0.788,0.214,0.574,0.469,0.426,0.0316,"M",2065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3700","GNAT2","chr1",109636503,109636528,26,"*",1200875,1200878,"R","chr1:109636503-109636528","3CpGs","25bp",0.1,0.419,0.319,0.307,0.304,0.00118,"U",-16574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3701","GNAZ","chr22",23113332,23113540,209,"*",27392278,27392281,"R","chr22:23113332-23113540","3CpGs","208bp",0.697,0.364,0.333,0.256,0.238,0.0427,"M",42813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3702","GNB5","chr15",52180380,52180496,117,"*",21180465,21180472,"R","chr15:52180380-52180496","7CpGs","116bp",0,0.304,0.304,0.263,0.261,0.0198,"U",10896,"ENSG00000069966",572.499971624121,-0.315077195353382,0.100461263292781,0.000664980093599016,0.00325849017034905,463.060837087165,539.481445537967,592.576261725805,752.216940349537,490.51058542807,638.034390108881,588.916592556468,515.202720199073,"protein_coding","G protein subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]"
"3703","GNG13","chr16",816777,816852,76,"*",21749928,21749931,"R","chr16:816777-816852","3CpGs","75bp",0.317,0.845,0.529,0.509,0.5,0.0015,"U",-16043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3704","GNG13","chr16",858064,858111,48,"*",21751517,21751520,"R","chr16:858064-858111","3CpGs","47bp",0.613,0.929,0.316,0.242,0.232,0.0488,"U",-57330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3705","GNG13","chr16",863675,864078,404,"*",21751735,21751742,"R","chr16:863675-864078","7CpGs","403bp",0.472,0.909,0.436,0.374,0.357,0.0175,"U",-62941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3706","GNG13","chr16",974627,974713,87,"*",21755698,21755706,"R","chr16:974627-974713","8CpGs","86bp",0.175,0.478,0.303,0.231,0.209,0.0463,"U",-173893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3707","GNG13","chr16",825123,825182,60,"*",21750244,21750251,"R","chr16:825123-825182","7CpGs","59bp",0.589,0.0829,0.506,0.463,0.44,0.00908,"M",-24389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3708","GNG5B","chrX",110186928,110187682,755,"*",28794540,28794552,"R","chrX:110186928-110187682","12CpGs","754bp",0.299,0.854,0.555,0.503,0.47,0.0147,"U",159291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3709","GNG5B","chrX",110316894,110316968,75,"*",28795347,28795353,"R","chrX:110316894-110316968","6CpGs","74bp",0.246,0.791,0.545,0.425,0.404,0.0408,"U",30005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3710","GNG5B","chrX",110274978,110276365,1388,"*",28795125,28795136,"R","chrX:110274978-110276365","11CpGs","1387bp",0.442,0.889,0.447,0.402,0.387,0.00895,"U",70608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3711","GNG5B","chrX",110346834,110346974,141,"*",28795626,28795643,"R","chrX:110346834-110346974","17CpGs","140bp",0.957,0.334,0.622,0.595,0.573,0.00492,"M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3712","GNG5B","chrX",110277049,110278530,1482,"*",28795137,28795143,"R","chrX:110277049-110278530","6CpGs","1481bp",0.323,0.685,0.362,0.282,0.261,0.0398,"U",68443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3713","GNG5B","chrX",110039864,110041072,1209,"*",28793576,28793586,"R","chrX:110039864-110041072","10CpGs","1208bp",0.587,0.238,0.349,0.269,0.253,0.0438,"M",305901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3714","GNGT2","chr17",49224900,49224933,34,"*",23625458,23625467,"R","chr17:49224900-49224933","9CpGs","33bp",0.825,0.485,0.34,0.27,0.26,0.0365,"M",-14326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3715","GNL3L","chrX",54547995,54548535,541,"*",28367680,28367694,"R","chrX:54547995-54548535","14CpGs","540bp",0.927,0.365,0.562,0.455,0.414,0.0328,"M",17812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3716","GNL3L","chrX",54551007,54551899,893,"*",28367723,28367742,"R","chrX:54551007-54551899","19CpGs","892bp",0.803,0.153,0.65,0.63,0.615,0.00222,"M",20824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3717","GNL3L","chrX",54559958,54561535,1578,"*",28367844,28367872,"R","chrX:54559958-54561535","28CpGs","1577bp",0.529,0.0617,0.467,0.375,0.328,0.0445,"M",29775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3718","GNL3L","chrX",54523712,54524663,952,"*",28367330,28367344,"R","chrX:54523712-54524663","14CpGs","951bp",0.378,0.682,0.305,0.242,0.213,0.0439,"U",-5520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3719","GNL3L","chrX",54698569,54700434,1866,"*",28368963,28368981,"R","chrX:54698569-54700434","18CpGs","1865bp",0.785,0.295,0.49,0.468,0.452,0.00413,"M",168386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3720","GNL3L","chrX",54789431,54791188,1758,"*",28369695,28369716,"R","chrX:54789431-54791188","21CpGs","1757bp",0.332,0.872,0.54,0.5,0.473,0.0102,"U",259248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3721","GNL3L","chrX",54541029,54541828,800,"*",28367591,28367604,"R","chrX:54541029-54541828","13CpGs","799bp",0.864,0.31,0.555,0.545,0.536,0.00106,"M",10846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3722","GNL3L","chrX",54724895,54725070,176,"*",28369132,28369137,"R","chrX:54724895-54725070","5CpGs","175bp",0.366,1,0.634,0.611,0.588,0.00519,"U",194712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3723","GNL3L","chrX",54598301,54599184,884,"*",28368287,28368291,"R","chrX:54598301-54599184","4CpGs","883bp",0.287,0.819,0.532,0.422,0.375,0.0414,"U",68118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
